id,repository,number,kind,state,merged,title,jev_top,p_top,jev_second,p_second
java1,socket.io-client-java,1,issue,closed,False,unhandled socket.io url error,defect_fixed_or_obsolete,0.71,support_question,0.28
java2,socket.io-client-java,2,issue,closed,False,socket.io compatiblity : unhandled socket.io url,defect_fixed_or_obsolete,0.69,support_question,0.22
java3,socket.io-client-java,3,issue,closed,False,Emitter Class,support_question,0.66,insufficient_evidence,0.17
java4,socket.io-client-java,4,issue,closed,False,"Unable to connect, no exception and timeout.",support_question,0.73,defect_fixed_or_obsolete,0.21
java5,socket.io-client-java,5,issue,closed,False,Error in Android applications,build_packaging_env,0.77,defect_fixed_or_obsolete,0.2
java6,socket.io-client-java,6,issue,closed,False,SSLEngine,feature_request,0.96,support_question,0.02
java7,socket.io-client-java,7,issue,closed,False,How to get connection errors,defect_fixed_or_obsolete,0.55,feature_request,0.42
java8,socket.io-client-java,8,issue,closed,False,Ack without params causes MissingFormatArgumentException,defect_fixed_or_obsolete,0.99,defect_current,0.01
java9,socket.io-client-java,9,issue,closed,False,isConnected on Socket,feature_request,0.98,docs_gap,0.01
java10,socket.io-client-java,10,issue,closed,False,JSONArray is incompatible with android 4.3 or lower,defect_fixed_or_obsolete,0.87,defect_current,0.13
java11,socket.io-client-java,11,issue,closed,False,No data for an ack causes an exception,defect_fixed_or_obsolete,0.52,duplicate_invalid_spam,0.45
java12,socket.io-client-java,12,pr,closed,True,JSON fixes for Androdi 4.3 and lower,defect_fixed_or_obsolete,0.89,pr_functional,0.11
java13,socket.io-client-java,13,issue,closed,False,Caused by: java.net.ConnectException: Connection refused: connect,support_question,0.87,defect_fixed_or_obsolete,0.13
java14,socket.io-client-java,14,issue,closed,False,java.lang.NoSuchMethodError: java.lang.String.isEmpty,defect_fixed_or_obsolete,0.96,defect_current,0.04
java15,socket.io-client-java,15,issue,closed,False,Secure websockets not working,defect_fixed_or_obsolete,0.83,defect_current,0.16
java16,socket.io-client-java,16,issue,closed,False,How to implement socket.io 1.0 in android ,support_question,0.45,defect_fixed_or_obsolete,0.38
java17,socket.io-client-java,17,issue,closed,False,Adding dependency into Android Studio,build_packaging_env,1,defect_fixed_or_obsolete,0
java18,socket.io-client-java,18,pr,closed,True,Information to add it as gradle dependency for Android Studio,pr_non_functional,0.99,build_packaging_env,0.01
java19,socket.io-client-java,19,issue,closed,False,Thank you!,feature_request,0.71,duplicate_invalid_spam,0.16
java20,socket.io-client-java,20,issue,closed,False,Is chatroom namespace supported ?,support_question,0.98,defect_fixed_or_obsolete,0.02
java21,socket.io-client-java,21,issue,closed,False,Cant reconnect to a socket connected before,defect_fixed_or_obsolete,0.68,defect_current,0.18
java22,socket.io-client-java,22,issue,closed,False,cant connect whitout any error,support_question,0.92,insufficient_evidence,0.04
java23,socket.io-client-java,23,issue,closed,False,socket.io and android not connecting a second time,support_question,0.71,defect_fixed_or_obsolete,0.15
java24,socket.io-client-java,24,issue,closed,False,how to getting message from server,support_question,0.99,defect_fixed_or_obsolete,0.01
java25,socket.io-client-java,25,issue,closed,False,on ack callback,support_question,0.54,feature_request,0.44
java26,socket.io-client-java,26,issue,closed,False,Unable to connect using https,support_question,0.67,defect_current,0.22
