id,topic,title,jev_status,p_status,jev_second,p_second,kotlin_test_quoted,p_tested,priority,priority_score
engine38,ack,pingInterval and pingTimeout calculated wrong,already_addressed,0.94,affected_fix_within_js,0.03,True,0.91,Important,1.06
engine39,ack,fixed wrong pingInterval and pingTimeout,would_deviate_from_js,0.59,already_addressed,0.3,True,0.66,Important,1.32
engine99,ack,Add allEvent listener to emitter,already_addressed,0.66,would_deviate_from_js,0.19,False,0.47,Routine,0.11
forkengine19,ack,fork change of varunoberoi/engine.io-client-java,already_addressed,0.74,matches_js_client,0.12,True,0.61,Routine,0.49
forkjava17,ack,fork change of revern/socket.io-client-java,already_addressed,0.78,not_applicable,0.16,True,0.74,Important,0.83
java153,ack,NullPointerException: Attempt to invoke interface method 'void com.github.nkzawa,already_addressed,0.93,affected_fix_within_js,0.04,True,0.56,Important,1.1
java204,ack,Send ack message to socket.io server and timeout,already_addressed,0.89,matches_js_client,0.09,True,0.87,Important,0.71
java234,ack,emit callback sometimes not getting fired,matches_js_client,0.9,already_addressed,0.08,True,0.63,Routine,0.18
java25,ack,on ack callback,already_addressed,0.92,matches_js_client,0.08,True,0.86,Routine,0.39
java309,ack,Emit or Ack timeout handling?,already_addressed,0.99,matches_js_client,0.01,True,0.8,Important,0.83
java367,ack,ClassCastException: java.lang.Integer cannot be cast to io.socket.client.Ack,already_addressed,0.96,not_applicable,0.04,False,0.08,Important,1.22
java413,ack,Timeout over 10000 ms not being handled properly (Android 7.1.1),already_addressed,0.96,not_applicable,0.03,False,0.13,Routine,0.75
java414,ack,Client timeout also triggers Socket.EVENT_CONNECT_ERROR event (Android 7.1.1),matches_js_client,0.69,already_addressed,0.23,True,0.88,Routine,0.04
java415,ack,Redundant Socket.EVENT_CONNECT_ERROR event being fired for connection timeout  (,matches_js_client,0.52,would_deviate_from_js,0.28,True,0.88,Routine,0.02
java517,ack,Emit with timeout,already_addressed,0.9,would_deviate_from_js,0.04,True,0.88,Routine,0.66
java541,ack,add timeout,already_addressed,0.86,would_deviate_from_js,0.07,True,0.77,Routine,0.07
java567,ack,Sending a String Ack which looks like a JSON is stringified,already_addressed,0.49,matches_js_client,0.48,False,0.33,Routine,0.04
java605,ack,ack.call( byte[] ); Can you support it? Thanks!,already_addressed,1,affected_fix_within_js,0,True,0.84,Routine,0.02
java622,ack,"""io.socket.client.SocketIOException: timeout"" (goes away after jvm restart)",insufficient_evidence,0.59,affected_fix_within_js,0.18,False,0.05,Important,1.31
java664,ack,why not merge this PR #517 ?,already_addressed,0.98,not_applicable,0.01,True,0.78,Routine,0.05
java691,ack,okio.AsyncTimeout Caused by java.lang.IllegalStateException Unbalanced enter/exi,not_applicable,1,insufficient_evidence,0,False,0.02,Routine,0.44
java726,ack,Transport close when using 2.1.0 client send big message to 4.5.2 NodeJS server,already_addressed,0.98,affected_fix_within_js,0.02,False,0.41,Important,1.41
java770,ack,Fixing the Concurrent Modification and clearAcks() logic,already_addressed,0.56,would_deviate_from_js,0.42,False,0.26,Routine,0.08
java775,ack,args[1] is received as null instead of socket acknowledgment callback,already_addressed,0.69,not_applicable,0.28,False,0.3,Routine,0.36
java82,ack,"Fatal signal 11 (SIGSEGV), code 1, fault",not_applicable,0.88,already_addressed,0.08,False,0.03,Routine,0.74
engine80,android,fix https://github.com/square/okhttp/issues/2283 SecurityException,already_addressed,0.87,not_applicable,0.07,False,0.03,Important,1.28
engine83,android,Connection will lost soon on Android 5.1 in battery mode,already_addressed,0.83,not_applicable,0.16,False,0.06,Routine,0.61
java122,android,It takes client very long time to get connected when using 3G network,matches_js_client,0.32,insufficient_evidence,0.29,False,0.03,Important,0.63
java170,android,Socket Connection error,matches_js_client,0.62,insufficient_evidence,0.15,False,0.05,Routine,0.44
java230,android,socket.io timeout problem Android,already_addressed,0.59,matches_js_client,0.35,False,0.06,Important,0.96
java241,android,Consistent XHR Post Error,matches_js_client,0.67,already_addressed,0.21,False,0.06,Routine,0.52
java262,android,Change Buffer Size,matches_js_client,0.4,would_deviate_from_js,0.35,False,0.04,Important,1.05
java272,android,latency in receiving socket.on message on android client,matches_js_client,0.8,insufficient_evidence,0.07,False,0.04,Routine,0.52
java325,android,Socket connect callback  socket.id() returns null,already_addressed,0.71,insufficient_evidence,0.12,False,0.38,Important,1.22
java328,android,"Consistent ""xhr poll error"" caused by poor network",affected_fix_within_js,0.33,already_addressed,0.26,False,0.44,High,2.17
java332,android,Unable to trigger acknowledgement function,already_addressed,0.43,not_applicable,0.27,False,0.4,Important,1.22
java383,android,how can I send audio file from android client to node.js server when stream is n,matches_js_client,0.89,would_deviate_from_js,0.05,False,0.05,Routine,0.18
java392,android,Android Memory Usage increase with every Socket.emit Call,insufficient_evidence,0.63,affected_fix_within_js,0.18,False,0.03,High,1.51
java407,android,"send message in handler ""client error"" ?",already_addressed,0.62,insufficient_evidence,0.13,False,0.05,Important,0.7
java45,android,マルチバイト文字が文字化けする(?),already_addressed,0.79,not_applicable,0.13,False,0.05,Routine,0.44
java459,android,Emitter.Listener sometime don't download all messages chat,already_addressed,0.73,insufficient_evidence,0.16,False,0.04,Important,1.23
java485,android,android socket.io native heap leak,not_applicable,0.55,matches_js_client,0.17,False,0.03,Important,1.22
java511,android,Socket io is randomly corrupting the data in other font,already_addressed,0.8,insufficient_evidence,0.13,False,0.04,High,1.59
